Name,Lat,Lng,Description,ImageURL
จุฬาฯ,13.738853,100.530538,จุฬาลงกรณ์มหาวิทยาลัย,king09.jpg
สนามหลวง,13.754937,100.493058,สนามหลวง เนื้อหา,king09.jpg
